GEO_ID,,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
id,FIPS Value,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
0500000US21031,21031,"Butler County, Kentucky",12745,*****,12351,87,46,42,26,25,26,37,4,12,134,89,158,44,5,10,153,42
0500000US21061,21061,"Edmonson County, Kentucky",12122,*****,11584,42,185,44,34,34,11,17,0,18,1,3,307,62,22,33,285,79
0500000US21097,21097,"Harrison County, Kentucky",18668,*****,17812,77,361,114,0,18,0,18,3,6,120,74,372,112,11,21,361,112
0500000US21023,21023,"Bracken County, Kentucky",8306,*****,8038,60,3,6,14,22,46,27,0,16,95,60,110,33,0,16,110,33
0500000US21143,21143,"Lyon County, Kentucky",8186,*****,7635,102,369,100,29,33,9,16,4,8,19,21,121,79,16,18,105,77
0500000US21063,21063,"Elliott County, Kentucky",7517,*****,7233,143,252,141,6,10,0,16,0,16,11,14,15,17,0,16,15,17
0500000US21111,21111,"Jefferson County, Kentucky",767154,*****,551540,1344,164685,1285,1436,318,21319,558,376,112,7381,1412,20417,1386,1337,285,19080,1380
0500000US21123,21123,"Larue County, Kentucky",14156,*****,13144,142,507,69,9,14,64,56,0,18,271,151,161,62,10,20,151,57
0500000US21161,21161,"Mason County, Kentucky",17153,*****,15553,81,934,182,6,11,149,16,6,11,59,81,446,186,10,19,436,189
0500000US21167,21167,"Mercer County, Kentucky",21516,*****,20002,91,848,156,45,43,174,21,10,16,137,78,300,150,14,26,286,150
0500000US21201,21201,"Robertson County, Kentucky",2143,*****,2123,22,16,22,0,11,0,11,0,11,0,11,4,6,0,11,4,6
0500000US21207,21207,"Russell County, Kentucky",17760,*****,16798,122,136,81,24,30,91,29,0,18,524,122,187,80,0,18,187,80
0500000US21229,21229,"Washington County, Kentucky",12019,*****,10732,122,624,103,0,18,103,99,0,18,256,123,304,142,65,71,239,113
0500000US21007,21007,"Ballard County, Kentucky",8090,*****,7549,28,336,55,41,32,32,18,0,16,9,13,123,57,30,24,93,49
